operation,matrix_size,variable_type,num_operations,optimal_thread,optimal_execution_time
duplication,146,0,21316,1,0.000000
multiplication,146,0,6224272,4,0.003000
elemwise_multiplication,146,0,21316,2,0.000000
addition,146,1,21316,2,0.000000
duplication,146,1,21316,1,0.000000
multiplication,146,1,6224272,8,0.004000
elemwise_multiplication,146,1,21316,2,0.000000
addition,147,0,21609,1,0.000000
duplication,147,0,21609,1,0.000000
multiplication,147,0,6353046,8,0.005333
elemwise_multiplication,147,0,21609,1,0.000000
addition,147,1,21609,1,0.000000
duplication,147,1,21609,2,0.000000
multiplication,147,1,6353046,8,0.003333
elemwise_multiplication,147,1,21609,1,0.000000
addition,148,0,21904,1,0.000000
duplication,148,0,21904,1,0.000000
multiplication,148,0,6483584,8,0.004667
elemwise_multiplication,148,0,21904,1,0.000000
addition,148,1,21904,2,0.000000
duplication,148,1,21904,2,0.000000
multiplication,148,1,6483584,8,0.006000
elemwise_multiplication,148,1,21904,1,0.000000
addition,149,0,22201,1,0.000000
duplication,149,0,22201,1,0.000000
multiplication,149,0,6615898,4,0.006000
elemwise_multiplication,149,0,22201,2,0.000333
addition,149,1,22201,1,0.000333
duplication,149,1,22201,1,0.000000
multiplication,149,1,6615898,8,0.006333
elemwise_multiplication,149,1,22201,1,0.000000
addition,150,0,22500,1,0.000333
duplication,150,0,22500,1,0.000000
multiplication,150,0,6750000,8,0.006000
elemwise_multiplication,150,0,22500,1,0.000000
addition,150,1,22500,1,0.000333
duplication,150,1,22500,1,0.000000
multiplication,150,1,6750000,16,0.003667
elemwise_multiplication,150,1,22500,2,0.000000
addition,151,0,22801,1,0.000000
duplication,151,0,22801,1,0.000000
multiplication,151,0,6885902,4,0.004000
elemwise_multiplication,151,0,22801,1,0.000000
addition,151,1,22801,2,0.000000
duplication,151,1,22801,2,0.000000
multiplication,151,1,6885902,8,0.003667
elemwise_multiplication,151,1,22801,2,0.000000
addition,152,0,23104,1,0.000000
duplication,152,0,23104,2,0.000000
multiplication,152,0,7023616,4,0.004000
elemwise_multiplication,152,0,23104,1,0.000000
addition,152,1,23104,1,0.000000
duplication,152,1,23104,1,0.000000
multiplication,152,1,7023616,8,0.003667
elemwise_multiplication,152,1,23104,2,0.000000
addition,153,0,23409,1,0.000000
duplication,153,0,23409,2,0.000000
multiplication,153,0,7163154,8,0.003667
elemwise_multiplication,153,0,23409,2,0.000000
addition,153,1,23409,1,0.000000
duplication,153,1,23409,1,0.000000
multiplication,153,1,7163154,8,0.004333
elemwise_multiplication,153,1,23409,1,0.000000
addition,154,0,23716,1,0.000333
duplication,154,0,23716,1,0.000000
multiplication,154,0,7304528,4,0.004667
elemwise_multiplication,154,0,23716,1,0.000333
addition,154,1,23716,1,0.000333
duplication,154,1,23716,1,0.000000
multiplication,154,1,7304528,8,0.003667
elemwise_multiplication,154,1,23716,1,0.000000
addition,155,0,24025,1,0.000000
duplication,155,0,24025,1,0.000000
multiplication,155,0,7447750,8,0.003667
elemwise_multiplication,155,0,24025,1,0.000000
addition,155,1,24025,2,0.000000
duplication,155,1,24025,1,0.000000
multiplication,155,1,7447750,8,0.006667
elemwise_multiplication,155,1,24025,1,0.000333
addition,156,0,24336,1,0.000333
duplication,156,0,24336,2,0.000333
multiplication,156,0,7592832,8,0.006667
elemwise_multiplication,156,0,24336,2,0.000000
addition,156,1,24336,1,0.000333
duplication,156,1,24336,2,0.000000
multiplication,156,1,7592832,8,0.004000
elemwise_multiplication,156,1,24336,1,0.000000
addition,157,0,24649,1,0.000000
duplication,157,0,24649,1,0.000000
multiplication,157,0,7739786,8,0.006667
elemwise_multiplication,157,0,24649,2,0.000000
addition,157,1,24649,2,0.000333
duplication,157,1,24649,1,0.000000
multiplication,157,1,7739786,8,0.004333
elemwise_multiplication,157,1,24649,1,0.000000
addition,158,0,24964,1,0.000000
duplication,158,0,24964,2,0.000000
multiplication,158,0,7888624,16,0.004000
elemwise_multiplication,158,0,24964,1,0.000000
addition,158,1,24964,1,0.000000
duplication,158,1,24964,1,0.000000
multiplication,158,1,7888624,8,0.004000
elemwise_multiplication,158,1,24964,1,0.000000
addition,159,0,25281,1,0.000000
duplication,159,0,25281,2,0.000000
multiplication,159,0,8039358,4,0.004333
elemwise_multiplication,159,0,25281,1,0.000000
addition,159,1,25281,1,0.000000
duplication,159,1,25281,1,0.000000
multiplication,159,1,8039358,8,0.006667
elemwise_multiplication,159,1,25281,1,0.000333
addition,160,0,25600,1,0.000000
duplication,160,0,25600,1,0.000000
multiplication,160,0,8192000,8,0.004000
elemwise_multiplication,160,0,25600,1,0.000000
addition,160,1,25600,1,0.000000
duplication,160,1,25600,1,0.000000
multiplication,160,1,8192000,8,0.004667
elemwise_multiplication,160,1,25600,1,0.000000
addition,161,0,25921,2,0.000000
duplication,161,0,25921,2,0.000000
multiplication,161,0,8346562,16,0.006667
elemwise_multiplication,161,0,25921,1,0.000000
addition,161,1,25921,2,0.000333
duplication,161,1,25921,2,0.000000
multiplication,161,1,8346562,16,0.004667
elemwise_multiplication,161,1,25921,2,0.000000
addition,162,0,26244,2,0.000000
duplication,162,0,26244,2,0.000000
multiplication,162,0,8503056,8,0.004667
elemwise_multiplication,162,0,26244,2,0.000000
addition,162,1,26244,1,0.000000
duplication,162,1,26244,2,0.000000
multiplication,162,1,8503056,16,0.007667
elemwise_multiplication,162,1,26244,1,0.000000
addition,163,0,26569,1,0.000333
duplication,163,0,26569,1,0.000000
multiplication,163,0,8661494,8,0.008333
elemwise_multiplication,163,0,26569,1,0.000000
addition,163,1,26569,1,0.000333
duplication,163,1,26569,1,0.000000
multiplication,163,1,8661494,8,0.013000
elemwise_multiplication,163,1,26569,1,0.000333
addition,164,0,26896,1,0.000333
duplication,164,0,26896,1,0.000333
multiplication,164,0,8821888,8,0.005333
elemwise_multiplication,164,0,26896,1,0.000000
addition,164,1,26896,2,0.000333
duplication,164,1,26896,1,0.000000
multiplication,164,1,8821888,8,0.004667
elemwise_multiplication,164,1,26896,2,0.000000
addition,165,0,27225,1,0.000000
duplication,165,0,27225,1,0.000000
multiplication,165,0,8984250,4,0.008000
elemwise_multiplication,165,0,27225,2,0.000333
addition,165,1,27225,1,0.000333
duplication,165,1,27225,1,0.000333
multiplication,165,1,8984250,8,0.004667
elemwise_multiplication,165,1,27225,1,0.000000
addition,166,0,27556,1,0.000000
duplication,166,0,27556,1,0.000000
multiplication,166,0,9148592,8,0.004333
elemwise_multiplication,166,0,27556,1,0.000000
addition,166,1,27556,1,0.000000
duplication,166,1,27556,1,0.000000
multiplication,166,1,9148592,16,0.005000
elemwise_multiplication,166,1,27556,1,0.000000
addition,167,0,27889,1,0.000000
duplication,167,0,27889,1,0.000000
multiplication,167,0,9314926,4,0.005000
elemwise_multiplication,167,0,27889,1,0.000000
addition,167,1,27889,2,0.000000
duplication,167,1,27889,1,0.000000
multiplication,167,1,9314926,16,0.004667
elemwise_multiplication,167,1,27889,2,0.000000
addition,168,0,28224,1,0.000000
duplication,168,0,28224,2,0.000000
multiplication,168,0,9483264,16,0.006333
elemwise_multiplication,168,0,28224,1,0.000000
addition,168,1,28224,1,0.000333
duplication,168,1,28224,1,0.000333
multiplication,168,1,9483264,8,0.006667
elemwise_multiplication,168,1,28224,2,0.000333
addition,169,0,28561,1,0.000000
duplication,169,0,28561,2,0.000000
multiplication,169,0,9653618,8,0.008667
elemwise_multiplication,169,0,28561,1,0.000000
addition,169,1,28561,1,0.000333
duplication,169,1,28561,1,0.000000
multiplication,169,1,9653618,16,0.008333
elemwise_multiplication,169,1,28561,1,0.000333
addition,170,0,28900,1,0.000333
duplication,170,0,28900,1,0.000000
multiplication,170,0,9826000,8,0.005000
elemwise_multiplication,170,0,28900,1,0.000000
addition,170,1,28900,1,0.000000
duplication,170,1,28900,2,0.000000
multiplication,170,1,9826000,16,0.005333
elemwise_multiplication,170,1,28900,2,0.000000
addition,171,0,29241,4,0.000000
duplication,171,0,29241,2,0.000000
multiplication,171,0,10000422,16,0.005667
elemwise_multiplication,171,0,29241,2,0.000000
addition,171,1,29241,2,0.000333
duplication,171,1,29241,2,0.000000
multiplication,171,1,10000422,8,0.006333
elemwise_multiplication,171,1,29241,2,0.000000
addition,172,0,29584,1,0.000333
duplication,172,0,29584,1,0.000000
multiplication,172,0,10176896,8,0.006000
elemwise_multiplication,172,0,29584,1,0.000000
addition,172,1,29584,1,0.000000
duplication,172,1,29584,1,0.000000
multiplication,172,1,10176896,8,0.007333
elemwise_multiplication,172,1,29584,2,0.000333
addition,173,0,29929,1,0.000333
duplication,173,0,29929,1,0.000000
multiplication,173,0,10355434,16,0.009667
elemwise_multiplication,173,0,29929,1,0.000333
addition,173,1,29929,2,0.000333
duplication,173,1,29929,1,0.000000
multiplication,173,1,10355434,8,0.009333
elemwise_multiplication,173,1,29929,1,0.000333
addition,174,0,30276,2,0.000333
duplication,174,0,30276,1,0.000333
multiplication,174,0,10536048,4,0.005000
elemwise_multiplication,174,0,30276,1,0.000000
addition,174,1,30276,1,0.000333
duplication,174,1,30276,2,0.000000
multiplication,174,1,10536048,16,0.009333
elemwise_multiplication,174,1,30276,1,0.000000
addition,175,0,30625,1,0.000333
duplication,175,0,30625,1,0.000000
multiplication,175,0,10718750,16,0.009333
elemwise_multiplication,175,0,30625,1,0.000333
addition,175,1,30625,2,0.000333
duplication,175,1,30625,1,0.000333
multiplication,175,1,10718750,4,0.016667
elemwise_multiplication,175,1,30625,1,0.000333
addition,176,0,30976,1,0.000333
duplication,176,0,30976,1,0.000000
multiplication,176,0,10903552,8,0.010333
elemwise_multiplication,176,0,30976,1,0.000333
addition,176,1,30976,1,0.000333
duplication,176,1,30976,1,0.000333
multiplication,176,1,10903552,8,0.009667
elemwise_multiplication,176,1,30976,1,0.000333
addition,177,0,31329,1,0.000333
duplication,177,0,31329,1,0.000000
multiplication,177,0,11090466,8,0.009667
elemwise_multiplication,177,0,31329,2,0.000333
addition,177,1,31329,1,0.000333
duplication,177,1,31329,1,0.000000
multiplication,177,1,11090466,8,0.009667
elemwise_multiplication,177,1,31329,2,0.000333
addition,178,0,31684,1,0.000333
duplication,178,0,31684,1,0.000000
multiplication,178,0,11279504,8,0.010000
elemwise_multiplication,178,0,31684,1,0.000000
addition,178,1,31684,1,0.000333
duplication,178,1,31684,1,0.000000
multiplication,178,1,11279504,8,0.010667
elemwise_multiplication,178,1,31684,1,0.000333
addition,179,0,32041,1,0.000333
duplication,179,0,32041,1,0.000000
multiplication,179,0,11470678,8,0.010000
elemwise_multiplication,179,0,32041,1,0.000000
addition,179,1,32041,1,0.000000
duplication,179,1,32041,1,0.000333
multiplication,179,1,11470678,8,0.010667
elemwise_multiplication,179,1,32041,1,0.000000
addition,180,0,32400,1,0.000333
duplication,180,0,32400,2,0.000333
multiplication,180,0,11664000,8,0.010000
elemwise_multiplication,180,0,32400,1,0.000000
addition,180,1,32400,2,0.000333
duplication,180,1,32400,2,0.000000
multiplication,180,1,11664000,8,0.010333
elemwise_multiplication,180,1,32400,2,0.000333
addition,181,0,32761,8,0.000333
duplication,181,0,32761,1,0.000333
multiplication,181,0,11859482,8,0.010000
elemwise_multiplication,181,0,32761,2,0.000000
addition,181,1,32761,1,0.000333
duplication,181,1,32761,2,0.000333
multiplication,181,1,11859482,8,0.011000
elemwise_multiplication,181,1,32761,1,0.000333
addition,182,0,33124,4,0.000333
duplication,182,0,33124,1,0.000000
multiplication,182,0,12057136,16,0.011333
elemwise_multiplication,182,0,33124,1,0.000000
addition,182,1,33124,1,0.000333
duplication,182,1,33124,1,0.000000
multiplication,182,1,12057136,8,0.011000
elemwise_multiplication,182,1,33124,2,0.000333
addition,183,0,33489,1,0.000333
duplication,183,0,33489,1,0.000000
multiplication,183,0,12256974,16,0.009667
elemwise_multiplication,183,0,33489,1,0.000000
addition,183,1,33489,1,0.000000
duplication,183,1,33489,1,0.000000
multiplication,183,1,12256974,8,0.011000
elemwise_multiplication,183,1,33489,1,0.000333
addition,184,0,33856,2,0.000333
duplication,184,0,33856,1,0.000333
multiplication,184,0,12459008,8,0.010333
elemwise_multiplication,184,0,33856,1,0.000333
addition,184,1,33856,1,0.000333
duplication,184,1,33856,1,0.000000
multiplication,184,1,12459008,8,0.012000
elemwise_multiplication,184,1,33856,2,0.000333
addition,185,0,34225,8,0.000333
duplication,185,0,34225,1,0.000333
multiplication,185,0,12663250,16,0.012000
elemwise_multiplication,185,0,34225,1,0.000333
addition,185,1,34225,1,0.000333
duplication,185,1,34225,1,0.000333
multiplication,185,1,12663250,8,0.011000
elemwise_multiplication,185,1,34225,1,0.000333
addition,186,0,34596,2,0.000333
duplication,186,0,34596,1,0.000000
multiplication,186,0,12869712,16,0.012000
elemwise_multiplication,186,0,34596,1,0.000000
addition,186,1,34596,2,0.000333
duplication,186,1,34596,2,0.000333
multiplication,186,1,12869712,16,0.012000
