optimalThreads,typeOp,matrixSize,numOp,numVar,varType,exeTime,isIterative,memoryPattern,complexity,matrixType
6,Multiplication,240,13824000,3,int,0.018,0,0,3.0,0
2,Addition,240,57600,3,int,0.0,0,0,2.0,0
2,Transposition,240,57600,2,int,0.0,0,1,2.0,0
3,Determinant,240,13824000,1,int,0.012,0,0,3.0,0
1,Scaling,240,57600,2,int,0.0,0,1,2.0,0
2,Exponential,240,57600,2,mixed,0.0,0,1,2.0,0
5,Logarithm,240,57600,2,mixed,0.0,0,1,2.0,0
2,Squareroot,240,57600,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,240,4608000,3,int,0.013,0,0,3.0,0
6,Eigenvalue,240,5760000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,250,15625000,3,int,0.019,0,0,3.0,0
2,Addition,250,62500,3,int,0.0,0,0,2.0,0
1,Transposition,250,62500,2,int,0.0,0,1,2.0,0
5,Determinant,250,15625000,1,int,0.014,0,0,3.0,0
1,Scaling,250,62500,2,int,0.0,0,1,2.0,0
3,Exponential,250,62500,2,mixed,0.001,0,1,2.0,0
5,Logarithm,250,62500,2,mixed,0.001,0,1,2.0,0
1,Squareroot,250,62500,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,250,5208333,3,int,0.014,0,0,3.0,0
4,Eigenvalue,250,6250000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,260,17576000,3,int,0.024,0,0,3.0,0
1,Addition,260,67600,3,int,0.0,0,0,2.0,0
1,Transposition,260,67600,2,int,0.001,0,1,2.0,0
6,Determinant,260,17576000,1,int,0.016,0,0,3.0,0
1,Scaling,260,67600,2,int,0.001,0,1,2.0,0
5,Exponential,260,67600,2,mixed,0.001,0,1,2.0,0
5,Logarithm,260,67600,2,mixed,0.001,0,1,2.0,0
2,Squareroot,260,67600,2,mixed,0.0,0,1,2.0,0
4,Ludecomposition,260,5858666,3,int,0.016,0,0,3.0,0
3,Eigenvalue,260,6760000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,270,19683000,3,int,0.028,0,0,3.0,0
3,Addition,270,72900,3,int,0.0,0,0,2.0,0
2,Transposition,270,72900,2,int,0.0,0,1,2.0,0
5,Determinant,270,19683000,1,int,0.014,0,0,3.0,0
1,Scaling,270,72900,2,int,0.0,0,1,2.0,0
4,Exponential,270,72900,2,mixed,0.0,0,1,2.0,0
5,Logarithm,270,72900,2,mixed,0.001,0,1,2.0,0
1,Squareroot,270,72900,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,270,6561000,3,int,0.017,0,0,3.0,0
4,Eigenvalue,270,7290000,2,mixed,0.0,1,1,2.0,0
6,Multiplication,280,21952000,3,int,0.026,0,0,3.0,0
1,Addition,280,78400,3,int,0.0,0,0,2.0,0
1,Transposition,280,78400,2,int,0.001,0,1,2.0,0
4,Determinant,280,21952000,1,int,0.016,0,0,3.0,0
1,Scaling,280,78400,2,int,0.0,0,1,2.0,0
4,Exponential,280,78400,2,mixed,0.0,0,1,2.0,0
8,Logarithm,280,78400,2,mixed,0.0,0,1,2.0,0
3,Squareroot,280,78400,2,mixed,0.001,0,1,2.0,0
5,Ludecomposition,280,7317333,3,int,0.018,0,0,3.0,0
3,Eigenvalue,280,7840000,2,mixed,0.001,1,1,2.0,0
8,Multiplication,290,24389000,3,int,0.025,0,0,3.0,0
1,Addition,290,84100,3,int,0.0,0,0,2.0,0
1,Transposition,290,84100,2,int,0.0,0,1,2.0,0
5,Determinant,290,24389000,1,int,0.016,0,0,3.0,0
2,Scaling,290,84100,2,int,0.0,0,1,2.0,0
5,Exponential,290,84100,2,mixed,0.0,0,1,2.0,0
6,Logarithm,290,84100,2,mixed,0.0,0,1,2.0,0
1,Squareroot,290,84100,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,290,8129666,3,int,0.019,0,0,3.0,0
4,Eigenvalue,290,8410000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,300,27000000,3,int,0.029,0,0,3.0,0
1,Addition,300,90000,3,int,0.001,0,0,2.0,0
1,Transposition,300,90000,2,int,0.0,0,1,2.0,0
5,Determinant,300,27000000,1,int,0.018,0,0,3.0,0
2,Scaling,300,90000,2,int,0.001,0,1,2.0,0
4,Exponential,300,90000,2,mixed,0.001,0,1,2.0,0
8,Logarithm,300,90000,2,mixed,0.001,0,1,2.0,0
3,Squareroot,300,90000,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,300,9000000,3,int,0.022,0,0,3.0,0
3,Eigenvalue,300,9000000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,310,29791000,3,int,0.038,0,0,3.0,0
3,Addition,310,96100,3,int,0.0,0,0,2.0,0
1,Transposition,310,96100,2,int,0.001,0,1,2.0,0
5,Determinant,310,29791000,1,int,0.019,0,0,3.0,0
1,Scaling,310,96100,2,int,0.0,0,1,2.0,0
4,Exponential,310,96100,2,mixed,0.001,0,1,2.0,0
7,Logarithm,310,96100,2,mixed,0.001,0,1,2.0,0
2,Squareroot,310,96100,2,mixed,0.0,0,1,2.0,0
6,Ludecomposition,310,9930333,3,int,0.021,0,0,3.0,0
4,Eigenvalue,310,9610000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,320,32768000,3,int,0.043,0,0,3.0,0
2,Addition,320,102400,3,int,0.0,0,0,2.0,0
1,Transposition,320,102400,2,int,0.0,0,1,2.0,0
4,Determinant,320,32768000,1,int,0.02,0,0,3.0,0
1,Scaling,320,102400,2,int,0.001,0,1,2.0,0
6,Exponential,320,102400,2,mixed,0.0,0,1,2.0,0
8,Logarithm,320,102400,2,mixed,0.001,0,1,2.0,0
4,Squareroot,320,102400,2,mixed,0.0,0,1,2.0,0
5,Ludecomposition,320,10922666,3,int,0.023,0,0,3.0,0
4,Eigenvalue,320,10240000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,330,35937000,3,int,0.031,0,0,3.0,0
1,Addition,330,108900,3,int,0.0,0,0,2.0,0
1,Transposition,330,108900,2,int,0.001,0,1,2.0,0
6,Determinant,330,35937000,1,int,0.021,0,0,3.0,0
1,Scaling,330,108900,2,int,0.0,0,1,2.0,0
8,Exponential,330,108900,2,mixed,0.001,0,1,2.0,0
6,Logarithm,330,108900,2,mixed,0.001,0,1,2.0,0
3,Squareroot,330,108900,2,mixed,0.001,0,1,2.0,0
5,Ludecomposition,330,11979000,3,int,0.024,0,0,3.0,0
4,Eigenvalue,330,10890000,2,mixed,0.001,1,1,2.0,0
5,Multiplication,340,39304000,3,int,0.038,0,0,3.0,0
2,Addition,340,115600,3,int,0.0,0,0,2.0,0
2,Transposition,340,115600,2,int,0.0,0,1,2.0,0
6,Determinant,340,39304000,1,int,0.021,0,0,3.0,0
1,Scaling,340,115600,2,int,0.001,0,1,2.0,0
7,Exponential,340,115600,2,mixed,0.001,0,1,2.0,0
6,Logarithm,340,115600,2,mixed,0.001,0,1,2.0,0
2,Squareroot,340,115600,2,mixed,0.0,0,1,2.0,0
6,Ludecomposition,340,13101333,3,int,0.026,0,0,3.0,0
4,Eigenvalue,340,11560000,2,mixed,0.001,1,1,2.0,0
5,Multiplication,350,42875000,3,int,0.054,0,0,3.0,0
3,Addition,350,122500,3,int,0.0,0,0,2.0,0
1,Transposition,350,122500,2,int,0.0,0,1,2.0,0
5,Determinant,350,42875000,1,int,0.023,0,0,3.0,0
2,Scaling,350,122500,2,int,0.001,0,1,2.0,0
4,Exponential,350,122500,2,mixed,0.001,0,1,2.0,0
5,Logarithm,350,122500,2,mixed,0.001,0,1,2.0,0
2,Squareroot,350,122500,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,350,14291666,3,int,0.026,0,0,3.0,0
4,Eigenvalue,350,12250000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,360,46656000,3,int,0.038,0,0,3.0,0
1,Addition,360,129600,3,int,0.0,0,0,2.0,0
1,Transposition,360,129600,2,int,0.001,0,1,2.0,0
5,Determinant,360,46656000,1,int,0.024,0,0,3.0,0
2,Scaling,360,129600,2,int,0.0,0,1,2.0,0
6,Exponential,360,129600,2,mixed,0.001,0,1,2.0,0
5,Logarithm,360,129600,2,mixed,0.001,0,1,2.0,0
5,Squareroot,360,129600,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,360,15552000,3,int,0.027,0,0,3.0,0
4,Eigenvalue,360,12960000,2,mixed,0.0,1,1,2.0,0
6,Multiplication,370,50653000,3,int,0.042,0,0,3.0,0
2,Addition,370,136900,3,int,0.001,0,0,2.0,0
2,Transposition,370,136900,2,int,0.001,0,1,2.0,0
5,Determinant,370,50653000,1,int,0.025,0,0,3.0,0
1,Scaling,370,136900,2,int,0.0,0,1,2.0,0
3,Exponential,370,136900,2,mixed,0.001,0,1,2.0,0
5,Logarithm,370,136900,2,mixed,0.001,0,1,2.0,0
4,Squareroot,370,136900,2,mixed,0.0,0,1,2.0,0
6,Ludecomposition,370,16884333,3,int,0.029,0,0,3.0,0
3,Eigenvalue,370,13690000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,380,54872000,3,int,0.068,0,0,3.0,0
2,Addition,380,144400,3,int,0.0,0,0,2.0,0
1,Transposition,380,144400,2,int,0.001,0,1,2.0,0
6,Determinant,380,54872000,1,int,0.027,0,0,3.0,0
1,Scaling,380,144400,2,int,0.0,0,1,2.0,0
4,Exponential,380,144400,2,mixed,0.001,0,1,2.0,0
5,Logarithm,380,144400,2,mixed,0.001,0,1,2.0,0
4,Squareroot,380,144400,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,380,18290666,3,int,0.031,0,0,3.0,0
3,Eigenvalue,380,14440000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,390,59319000,3,int,0.075,0,0,3.0,0
3,Addition,390,152100,3,int,0.0,0,0,2.0,0
1,Transposition,390,152100,2,int,0.001,0,1,2.0,0
6,Determinant,390,59319000,1,int,0.027,0,0,3.0,0
2,Scaling,390,152100,2,int,0.0,0,1,2.0,0
4,Exponential,390,152100,2,mixed,0.001,0,1,2.0,0
4,Logarithm,390,152100,2,mixed,0.002,0,1,2.0,0
4,Squareroot,390,152100,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,390,19773000,3,int,0.031,0,0,3.0,0
3,Eigenvalue,390,15210000,2,mixed,0.001,1,1,2.0,0
5,Multiplication,400,64000000,3,int,0.083,0,0,3.0,0
4,Addition,400,160000,3,int,0.0,0,0,2.0,0
1,Transposition,400,160000,2,int,0.0,0,1,2.0,0
5,Determinant,400,64000000,1,int,0.03,0,0,3.0,0
2,Scaling,400,160000,2,int,0.0,0,1,2.0,0
5,Exponential,400,160000,2,mixed,0.001,0,1,2.0,0
7,Logarithm,400,160000,2,mixed,0.002,0,1,2.0,0
2,Squareroot,400,160000,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,400,21333333,3,int,0.034,0,0,3.0,0
5,Eigenvalue,400,16000000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,410,68921000,3,int,0.057,0,0,3.0,0
2,Addition,410,168100,3,int,0.001,0,0,2.0,0
2,Transposition,410,168100,2,int,0.0,0,1,2.0,0
5,Determinant,410,68921000,1,int,0.032,0,0,3.0,0
1,Scaling,410,168100,2,int,0.001,0,1,2.0,0
4,Exponential,410,168100,2,mixed,0.001,0,1,2.0,0
7,Logarithm,410,168100,2,mixed,0.002,0,1,2.0,0
7,Squareroot,410,168100,2,mixed,0.001,0,1,2.0,0
